"";"name";"name_url";"authors";"type";"description"
"1";"Wheat conference";"https://link.springer.com/article/10.1007/BF00040368";"Euphytica (1990)";"Article";"
      
    "
"2";"Role of chromosome 3A in stomatal resistance of winter wheat";"https://link.springer.com/article/10.1007/BF00023552";"Euphytica (1992)";"Article";"
      
    "
"3";"Inheritance of biotype E greenbug resistance in bread wheat CI 17882 and its relationship with wheat streak mosaic virus resistance";"https://link.springer.com/article/10.1007/BF00021870";"J. M. Tyler, J. A. Webster, E. E. Sebesta, E. L. Smith in Euphytica (1986)";"Article";"
      Genetic studies were conducted to determine the inheritance of biotype E greenbug resistance in CI 17882 (CI 15092/T. speltoides//Fletcher/3/4* Centurk), a wheat germplasm line previously released as resistant to...
    "
"4";"The introduction into bread wheat of a major gene for resistance to powdery mildew from wild emmer wheat";"https://link.springer.com/article/10.1007/BF00032033";"S. M. Reader, T. E. Miller in Euphytica (1991)";"Article";"
      A new source of resistance to wheat powdery mildew caused by Erysiphe graminis has been transferred to hexaploid bread wheat, Triticum aestivum, from the wild tetraploid wheat, Triticum dicoccoides. The donor was...
    "
"5";"Relation between wheat-rye crossability and seed set of common wheat after pollination with other species in the Hordeae";"https://link.springer.com/article/10.1007/BF00033667";"Julian B. Thomas, P. J. Kaltsikes, R. Glenn Anderson in Euphytica (1981)";"Article";"
      Cultivars of common wheat (Triticum aestivum L. em. Thell.) of high wheat-rye (Secale cereale...L.) crossability set more seed with pollen of other related species than did wheats of low wheat-rye crossability. T...
    "
"6";"Cytological identification of 1B/1R wheat-rye translocations in winter wheat breeding lines";"https://link.springer.com/article/10.1007/BF00023526";"A. Lane Rayburn, Brett F. Carver in Euphytica (1988)";"Article";"
      The incorporation of rye (S. cereale L.) chromatin into winter wheat (T. aestivum...L.) cultivars is often achieved via hybridization of unadapted wheat-rye translocation lines with adapted wheat germplasm. Ident...
    "
"7";"Genetic and environmental variability in wheat characteristics reported to be involved in morphological resistance to wheat stem rust";"https://link.springer.com/article/10.1007/BF00032077";"B. Skovmand, Roy D. Wilcoxson, R. E. Heiner in Euphytica (1977)";"Article";"
      Four morphological characteristics of wheat peduncles were evaluated for genetic and environmental...
    "
"8";"Environmental stability of partial resistance in spring wheat to wheat leaf rust";"https://link.springer.com/article/10.1007/BF00037531";"L. H. M. Broers, J. E. Parlevliet in Euphytica (1989)";"Article";"
      Five spring wheat cultivars differing in partial resistance (PR) to wheat leaf rust were tested at Wageningen (the...
    "
"9";"Chromosomal location of genes for resistance to powdery mildew in common wheat (Triticum aestivum L. em Thell.). 8. Gene Pm32 in a wheat-Aegilops speltoides translocation line";"https://link.springer.com/article/10.1023/A%3A1025738513638";"S.L.K. Hsam, I.F. Lapochkina, F.J. Zeller in Euphytica (2003)";"Article";"
      The wheat-Aegilops speltoides translocation line L501 exhibits a disease response pattern distinctive from that of documented powdery mildew genes after inoculation with differential Blumeria graminis tritici iso...
    "
"10";"Hybrid wheat. VII. Tests on the transmission of cytoplasmic male sterility in wheat by embryo-endosperm grafting";"https://link.springer.com/article/10.1007/BF00056245";"J.-R. Lacadena in Euphytica (1968)";"Article";"
      Embryo-endosperm graftings have been made in order to investigate the possible asexual transmission of cytoplasmic male sterility in wheat using normal (B-lines) and male...
    "
"11";"Gene Pm6 for resistance to powdery mildew in wheat";"https://link.springer.com/article/10.1007/BF00022656";"J. Helmsj∅rgensen, C. J. Jensen in Euphytica (1973)";"Article";"
      
    "
"12";"H.-J. Braun, F. Altay, W.E. Kronstad, S.P.S. Beniwal & A. McNab (Eds). 1997. Wheat: prospects for global improvement.";"https://link.springer.com/article/10.1023/A%3A1018371103933";"A.C. Zeven in Euphytica (1998)";"Article";"
      
    "
"13";"Chromosome numbers in Pugley's male sterile wheat";"https://link.springer.com/article/10.1007/BF00056239";"J. Waninge, A. C. Zeven in Euphytica (1968)";"Article";"
      An account is given of the chromosome number of Pugsley's male sterile wheat. It appears that this number varies greatly...
    "
"14";"Physiological responses of six bread wheat and durum wheat genotypes to water stress";"https://link.springer.com/article/10.1007/BF00021902";"C. Seropian, C. Planchon in Euphytica (1984)";"Article";"
      The responses of six wheat genotypes to water stress were analysed. Soil...w), photosynthesis (PN), stomatal resistance (rs) and transpiration (T) were measured during a water stress. The genotypes investigated d...
    "
"15";"Postulation of resistance genes to yellow rust in wild emmer wheat derivatives and advanced wheat lines from Nepal";"https://link.springer.com/article/10.1007/BF00025617";"S. Sharma, J. M. Louwers, C. B. Karki, C. H. A. Snijders in Euphytica (1995)";"Article";"
      Seedlings of 38 wild emmer derivatives, and a total of 53 advanced wheat varieties/lines introduced from the International Maize and Wheat Improvement Centre (CIMMYT) or other sources,...Yr). Many wild emmer wheat
    "
"16";"Inheritance and allelism of resistances to the Russian wheat aphid in seven wheat lines";"https://link.springer.com/article/10.1007/BF00025621";"Haishui Dong, James S. Quick in Euphytica (1995)";"Article";"
      Studies were conducted to determine the inheritance and allelic relationships of genes controlling resistance to the Russian wheat aphid (RWA), Diuraphis noxia (Mordvilko), in seven wheat germplasm lines previous...
    "
"17";"Wheat embryogenesis and haploid production in wheat × maize hybrids";"https://link.springer.com/article/10.1007/BF00027482";"J. Zhang, B. Friebe, W. J. Raupp, S. A. Harrison, B. S. Gill in Euphytica (1996)";"Article";"
      Embryogenesis was analyzed in wheat × maize hybrids using paraffin sectioning. Embryogenesis in wheat × maize hybrids is different from that in self-pollinated wheat plants. Development of the embryo is not ... c...
    "
"18";"Evaluation of chemical compounds for induction of male sterility in wheat (Triticum aestivum L.)";"https://link.springer.com/article/10.1007/s10681-006-9305-2";"Kajal Chakraborty, C. Devakumar in Euphytica (2006)";"Article";"
      
    "
"19";"Classification of landraces and improved cultivars of rivet wheat (Triticum turgidum) and bread wheat (T. aestivum) from Great Britain and described in 1934";"https://link.springer.com/article/10.1007/BF00024248";"A. C. Zeven in Euphytica (1990)";"Article";"
      Descriptions of landraces and improved cultivars of Triticum turgidum and T. aestivum grown in Great Britain, published by Percival (1934) were used to investigate between accession resemblance, and possible betw...
    "
"20";"Cytogenetical studies in wheat XVI. Chromosome location of a new gene for resistance to leaf rust in a Japanese wheat-rye translocation line";"https://link.springer.com/article/10.1007/BF00027060";"R. A. McIntosh, B. Friebe, J. Jiang, D. The, B. S. Gill in Euphytica (1995)";"Article";"
      A leaf rust resistant wheat-rye translocation stock, ST-1, introduced...Lr26, Yr9 and Sr31. A second type carried a new gene, Lr45..., located in a large segment of rye chromosome translocated to wheat chromosome...
    "
"21";"Screening for resistance to take-all in wheat, triticale and wheat-triticale hybrid lines";"https://link.springer.com/article/10.1007/BF00023304";"Hugh Wallwork in Euphytica (1989)";"Article";"
      Fifteen triticale and wheat-triticale hybrid lines were evaluated for resistance...Gaeumannomyces graminis var. tritici and compared with five wheat and two rye lines in inoculated field and pot trials. The triti...
    "
"22";"Influence of post-infection temperature on three components of partial resistance in wheat to wheat leaf rust";"https://link.springer.com/article/10.1007/BF00037528";"L. H. M. Broers, S. C. Wallenburg in Euphytica (1989)";"Article";"
      Three components of partial resistance (PR) were studied at three post-infection temperatures using seven spring wheat genotypes differing in level of PR and two different wheat leaf rust races. The components we...
    "
"23";"Partial resistance to wheat leaf rust in 18 spring wheat cultivars";"https://link.springer.com/article/10.1007/BF00037532";"L. H. M. Broers in Euphytica (1989)";"Article";"
      Eighteen spring wheat cultivars were tested in microfields and race nurseries for their partial resistance PR to wheat leaf rust under low and high disease...
    "
"24";"Abortion of infection structures of wheat leaf rust in susceptible and partially resistant wheat genotypes";"https://link.springer.com/article/10.1007/BF00032153";"Th. Jacobs in Euphytica (1990)";"Article";"
      Arrest of the growth of wheat leaf rust infection structures was studied with ... leaves and flag leaves of the susceptible spring wheat genotypes Morocco and Kaspar and the partially...
    "
"25";"DNA and morphological markers for a Russian wheat aphid resistance gene";"https://link.springer.com/article/10.1007/s10681-005-3191-x";"A. Arzani, J. H. Peng, N. L. V. Lapitan in Euphytica (2005)";"Article";"
      
    "
"26";"Genetic control of Russian wheat aphid (Diuraphis noxia) resistance in wheat accession PI 47545";"https://link.springer.com/article/10.1023/A%3A1012003332713";"T.M. Linscott, N.A. Bosque-Pérez, D.J. Schotzko, K.K. Kidwell, R.S. Zemetra in Euphytica (2001)";"Article";"
      The Russian wheat aphid, Diuraphis noxia...(Mordvilko), is a major pest of cereal crops in many areas of the world, causing serious reduction in grain yield in wheat (Triticum aestivum L.) and barley (Hordeum vul...
    "
"27";"The use of wheat-alien and Aegilops-rye amphiploids for introgression of genetic material to wheat";"https://link.springer.com/article/10.1023/A%3A1018309802377";"V.K. Simonenko, I.I. Motsny, A.L. Sechnyak, M.P. Kulbida in Euphytica (1998)";"Article";"
      An introduction of genetic material from rye, Aegilops and Elymus into durum and common wheat by crossing the wheat species with different amphiploids, has been attempted ... Meiotic studies of the hybrids demons...
    "
"28";"Effects of the Russian wheat aphid on osmotic potential and fructan content of winter wheat seedlings";"https://link.springer.com/article/10.1007/BF00022194";"E.W. Storlie, L.E. Talbert, G.A. Taylor, H.A. Ferguson, J.H. Brown in Euphytica (1992)";"Article";"
      The effect of an autumn Russian wheat aphid, Diuraphis noxia (Mordvilko), infestation on winter wheat, Triticum aestivum L., was investigated using osmotic potential, fructan content and field survival measuremen...
    "
"29";"Direct and indirect selection for drought tolerance in alien tetraploid wheat x durum wheat crosses";"https://link.springer.com/article/10.1023/A%3A1018328911946";"A. Al Hakimi, P. Monneveaux, M.M. Nachit in Euphytica (1998)";"Article";"
      After the evaluation of numerous accessions of primitive wheats for yield components and morphophysiological traits related ... carthlicum) were crossed with the improved durum wheat varieties Cham 1 and Om Rabi ...
    "
"30";"Inheritance and allelic relationships of resistances to the Russian wheat aphid in two Iranian wheat lines";"https://link.springer.com/article/10.1023/A%3A1026520013040";"M.T. Assad, H.R. Dorry in Euphytica (2001)";"Article";"
      Russian wheat aphid (RWA), Diuraphis noxia (Kurdjumov), is a serious pest of small grains in many countries. A previous study screened 70 genotypes, collected from different parts of Iran, for RWA resistance. Fou...
    "
"31";"The presence of three groups of Scalavatis and other hexaploid bread wheat plants contaminating durum wheat fields in Cyprus";"https://link.springer.com/article/10.1007/BF00037904";"A. C. Zeven, J. Waninge in Euphytica (1989)";"Article";"
      The mutual resemblance of 81 hexaploid wheat plants contaminating durum fields on Cyprus was ... of groups 2 and 3 have a bread wheat appearance. Suggestions on the origin of these...
    "
"32";"Increase in grain protein percentage in high-yielding common wheat breeding lines by genes from wild tetraploid wheat";"https://link.springer.com/article/10.1007/BF00041478";"A. A. Levy, M. Feldman in Euphytica (1987)";"Article";"
      Forty-one breeding lines of common wheat, derived from crosses between the Israeli cultivars ... Lakhish and high-protein lines of wild tetraploid wheat, Triticum turgidum var. dicoccoides, were tested for variou...
    "
"33";"Influence of race and post infection temperature on two components of partial resistance to wheat leaf rust in seedlings of wheat";"https://link.springer.com/article/10.1007/BF00035335";"C. J. M. Denissen in Euphytica (1991)";"Article";"
      Components of partial resistance, infection frequency and latency period, were determined in 71 winter and spring wheat genotypes in the seedling stage, after infection...
    "
"34";"Spontaneous wheat/rye translocations from female meiotic products of hybrids between octoploid triticale and wheat";"https://link.springer.com/article/10.1007/BF00025616";"Y. B. Wang, H. Hu, J. W. Snape in Euphytica (1995)";"Article";"
      Heptaploid hybrids between octoploid triticale and wheat were backcrossed as female parents with wheat to examine the rye chromosome distribution in...in situ...hybridization (GISH). One hundred and one backcross...
    "
"35";"Expression of barley yellow dwarf virus and Russian wheat aphid resistance genes in and fertility of spring wheat × triticale hybrids and backcross lines";"https://link.springer.com/article/10.1007/BF00027485";"K. K. Nkongolo in Euphytica (1996)";"Article";"
      The Barley Yellow Dwarf Virus disease (BYDV) and the Russian wheat aphid (RWA) Diuraphis noxia (Mordvilko) have caused significant losses to wheat and barley in several areas of the ... found in Triticale. Differ...
    "
"36";"The inheritance of host plant effect on latency period of wheat leaf rust in spring wheat. II: Number of segregating factors and evidence for trangressive segregation in F3 and F5 generations";"https://link.springer.com/article/10.1007/BF00037527";"L. H. M. Broers, Th. Jacobs in Euphytica (1989)";"Article";"
      Three partially resistant spring wheat cultivars, with a long latency period were...
    "
"37";"Segregation of genetic markers among wheat doubled haploid lines derived from wheat x maize crosses";"https://link.springer.com/article/10.1007/BF00022576";"Kazuhiro Suenaga, Kousuke Nakajima in Euphytica (1992)";"Article";"
      Wheat doubled haploid (DH) lines were produced...1...hybrid, Fukudo-komugi x Oligo Culm, through intergeneric crosses between wheat and maize. F2 plants and 203 DH lines were analyzed for the segregation of the e...
    "
"38";"Searching for DNA introgressed from wheat and for wheat-like grain proteins in a rice x wheat hybridization derivative";"https://link.springer.com/article/10.1007/BF00034155";"Hannu Ahokas in Euphytica (1993)";"Article";"
      The DNA of a putative rice x wheat hybridization derivative (X Oryticum oryzoides...) from China, the DNA of its parental rice cultivar and the DNA of a wheat line were digested with ten different restriction ......
    "
"39";"Expression of 17 rye (Secale cereale L.) traits in a range of durum wheat (Triticum durum Desf.) and bread wheat (T. aestivum L.) genetic backgrounds";"https://link.springer.com/article/10.1007/BF00022256";"Sarvjeet Singh, G. S. Sethi in Euphytica (1992)";"Article";"
      Expression of 17 rye traits in 24 bread wheat x rye and 8 durum wheat x rye crosses was studied, using a...Triticum aestivum and T. durum wheats with rye. Dark greenness of leaves of rye was expressed in all the ...
    "
"40";"Heterotic effects of wheat-rye chromosomal translocations on agronomic traits of hybrid wheat (Triticum aestivum L.) under an adequate moisture regime";"https://link.springer.com/article/10.1023/A%3A1024632619171";"J.O. Owuoche, R.G. Sears, G.L. Brown-Guedira, B.S. Gill, A.K. Fritz in Euphytica (2003)";"Article";"
      Translocated chromosomes T1BL⋅1RS and T1AL⋅1RS have been widely used in many wheat (Triticum aestivum...L.) breeding programs to develop high yielding cultivars. The objective of this study was to evaluate the he...
    "
"41";"Race-specific aspects of partial resistance in wheat to wheat leaf rust, Puccinia recondita f.sp. tritici
    ";"https://link.springer.com/article/10.1007/BF00037535";"L. H. M. Broers in Euphytica (1989)";"Article";"
      Partial resistance (PR) in wheat to wheat leaf rust (Puccinia recondita f.sp. tritici...) is characterized by a slow epidemic build-up despite a susceptible infection type. Two greenhouse tests and two field test...
    "
"42";"Photosynthesis, transpiration, resistance to CO2 transfer, and water efficiency of flag leaf of bread wheat, durum wheat and triticale";"https://link.springer.com/article/10.1007/BF00056598";"C. Planchon in Euphytica (1979)";"Article";"
      Net photosynthesis, transpiration, and resistances to CO2 and water vapour transfer of two cultivars of each of four types (Triticum durum, Triticum aestivum.... hexaploid Triticale, octaploid Triticale) were ana...
    "
"43";"Adaptation of wheat rusts to the wheat cultivars in former Czechoslovakia";"https://link.springer.com/article/10.1007/BF00022834";"Pavel Bartoš, Eva Stuchlíková, Renata Hanušová in Euphytica (1996)";"Article";"
      In former Czechoslovakia virulence of rusts attacking wheat was studied since the sixties. Since the...Berberis and Thalictrum...as alternate hosts for stem rust and leaf rust, respectively, was investigated as w...
    "
"44";"Erratum to: QTLs for root traits at mid-tillering and for root and shoot traits at maturity in a RIL population of spring bread wheat grown under well-watered conditions";"https://link.springer.com/article/10.1007/s10681-016-1736-9";"B. Ehdaie, S. A. Mohammadi, M. Nouraein, H. Bektas, J. G. Waines in Euphytica (2016)";"Article";"
      
    "
"45";"Carbon isotope discrimination and indirect selection for transpiration efficiency at flowering in lentil (Lens culinaris Medikus), spring bread wheat (Triticum aestivum L.) durum wheat (T. turgidum L.), and canola (Brassica napus L.)";"https://link.springer.com/article/10.1007/BF00021887";"A. Matus, A. E. Slinkard, C. van Kessel in Euphytica (1996)";"Article";"
      Carbon isotope discrimination has been proposed to indirectly select for transpiration efficiency in several C3 species. To determine the effectiveness of carbon isotope discrimination to indirectly select for tr...
    "
"46";"Russian wheat aphid-induced protein alterations in spring wheat";"https://link.springer.com/article/10.1023/A%3A1003866626723";"D.R. Porter, J.A. Webster in Euphytica (2000)";"Article";"
      The Russian wheat aphid (RWA), Diuraphis noxia...(Mordvilko), has become a perennial, serious pest of wheat (Triticum aestivum...L.) in the western United States. Current methodologies used to enhance RWA resista...
    "
"47";"Genetic relationships and diversity among Tibetan wheat, common wheat and European spelt wheat revealed by RAPD markers";"https://link.springer.com/article/10.1023/A%3A1018316129246";"Qixin Sun, Zhongfu Ni, Zhiyong Liu, Jianwei Gao, Tiecheng Huang in Euphytica (1998)";"Article";"
      An endemic hexaploid wheat found in Tibet, China was taxonomically classified as a subspecies in common wheat, i.e. Triticum aestivum ssp. tibetanum. Seven accessions of the Tibetan wheat, 22 cultivars of common 
    "
"48";"Erratum to: Differential influence of QTL linked to Fusarium head blight, Fusarium-damaged kernel, deoxynivalenol contents and associated morphological traits in a Frontana-derived wheat population";"https://link.springer.com/article/10.1007/s10681-014-1229-7";"Ágnes Szabó-Hevér, Szabolcs Lehoczki-Krsjak, Mónika Varga, László Purnhauser… in Euphytica (2014)";"Article";"
      
    "
"49";"Transfer of high kernel weight and high protein from wild tetraploid wheat (Triticum turgidum dicoccoides) to bread wheat (T. aestivum) using homologous and homoeologous recombination";"https://link.springer.com/article/10.1007/BF00022773";"U. Kushnir, G. M. Halloran in Euphytica (1984)";"Article";"
      Wheat pentaploids were produced by hybridizing a high ... (25.4%) line of wild tetraploid wheat (Triticum turgidum dicoccoides) as male parent, with the three hexaploids (T. aestivum) — normal Chinese Spring and ...
    "
"50";"Is the pedigree of the near-isogenic line Michigan Amber/8*Chancellor of bread wheat correct?";"https://link.springer.com/article/10.1007/BF00033657";"A. C. Zeven in Euphytica (1981)";"Article";"
      It is shown that the near-isogenic line Michigan Amber/8*Chancellor cannot derive from Michigan Amber. Marquillo is suggested as the donor cultivar.
    "
"51";"Wheat quality requirements of Asian foods";"https://link.springer.com/article/10.1023/A%3A1018305418365";"G.B. Crosbie, S. Huang, I.R. Barclay in Euphytica (1998)";"Article";"
      Australian wheat quality research has focused on the quality ... for the laboratory manufacture and quality assessment of wheat-based food products. Products considered have included ... The research has also bee...
    "
"52";"Chromosomal location of genes for resistance to powdery mildew in common wheat (Triticum aestivum L. em Thell.). 9. Gene MlZec1 from the Triticum dicoccoides-derived wheat line Zecoi-1";"https://link.springer.com/article/10.1007/s10681-005-1251-x";"Volker Mohler, Friedrich J. Zeller, Gerhard Wenzel, Sai L. K. Hsam in Euphytica (2005)";"Article";"
      The Triticum dicoccoides-derived wheat line Zecoi-1 provides effective protection against...3 segregation analysis of Chinese Spring × Zecoi-1 hybrids showed that resistance in line Zecoi-1 is controlled by a sin...
    "
"53";"Sources of the highly expressed wheat bread making (wbm) gene in CIMMYT spring wheat germplasm and its effect on processing and bread-making quality";"https://link.springer.com/article/10.1007/s10681-016-1659-5";"Carlos Guzmán, Yonggui Xiao, Jose Crossa, Héctor González-Santoyo… in Euphytica (2016)";"Article";"
      Bread-making quality is a core trait for wheat breeding programs. Recently, the expression of a novel gene named wheat bread making (wbm...) gene has been associated with good bread-making quality. In this study,...
    "
"54";"Chromosome pairing in durum wheat haploids with and without ph1b of bread wheat";"https://link.springer.com/article/10.1007/s10681-007-9523-2";"Prem P. Jauhar, Münevver Doğramacı in Euphytica (2008)";"Article";"
      Durum or macaroni wheat (Triticum turgidum L., 2n = 4x = 28; AABB) is an allotetraploid with two related genomes, AA and BB, each with seven pairs of homologous chromosomes. Although the corresponding chromosomes...
    "
"55";"Resistance to Wheat streak mosaic virus identified in synthetic wheat lines";"https://link.springer.com/article/10.1007/s10681-014-1095-3";"Jessica L. Shoup Rupp, Zachary G. Simon, Beth Gillett-Walker, John P. Fellers in Euphytica (2014)";"Article";"
      
                      Wheat streak mosaic virus (WSMV) is an important pathogen in wheat that causes significant yield losses each year. ... cultural practices such as the removal of volunteer wheat. Genetic resistanc...
    "
"56";"Influence of winter and spring wheat genetic backgrounds on haploid induction parameters and trait correlations in the wheat × maize system";"https://link.springer.com/article/10.1007/s10681-005-5812-9";"Shivali Sharma, G. S. Sethi, H. K. Chaudhary in Euphytica (2005)";"Article";"
      The interactive influence of winter and/or spring wheat genetic background on haploid induction parameters and ... and diverse genotypes each of winter and spring wheat and their F1...s (winter × winter, spring ×...
    "
"57";"Agronomic and quality effects in winter wheat of a gene conditioning resistance to wheat streak mosaic virus";"https://link.springer.com/article/10.1007/s10681-006-9174-8";"L. A. Divis, R. A. Graybosch, C. J. Peterson, P. S. Baenziger, G. L. Hein… in Euphytica (2006)";"Article";"
      Wheat streak mosaic virus (WSMV) is one of the most important diseases limiting winter wheat (Triticum aestivum...L.) production in the western Great Plains of North America. There is no known effective WSMV resi...
    "
"58";"Generation means analysis of wheat streak mosaic virus resistance in winter wheat";"https://link.springer.com/article/10.1007/s10681-004-2490-y";"Frederick Hakizimana, Amir M.H. Ibrahim, Marie A.C. Langham, Jackie C. Rudd… in Euphytica (2004)";"Article";"
      Wheat streak mosaic virus (WSMV; Family: potyviridae; Genus: Tritimovirus) is a major threat to winter wheat (Triticum aestivum...L. em. Thell) production worldwide, yet little is known about the genetic control ...
    "
"59";"Molecular detection of rye (Secale cereale L.) chromatin in wheat line 07jian126 (Triticum aestivum L.) and its association to wheat powdery mildew resistance";"https://link.springer.com/article/10.1007/s10681-012-0649-5";"Shuiyang Yu, Hai Long, Hong Yang, Jie Zhang, Guangbing Deng, Zhifen Pan… in Euphytica (2012)";"Article";"
      Powdery mildew (Pm), caused by Blumeria graminis f. sp. tritici (Bgt...), is one of the most serious diseases for common wheat in many regions around the world. Seeking ... co-evolution of the pathogen’s virulenc...
    "
"60";"Occurrence of 1BL.1RS wheat-rye chromosome translocation and of Sr36/Pm6 resistance gene cluster in wheat cultivars registered in Hungary";"https://link.springer.com/article/10.1007/s10681-010-0312-y";"László Purnhauser, Lajos Bóna, László Láng in Euphytica (2011)";"Article";"
      The 1BL.1RS wheat-rye translocation and a wheat-Triticum timopheevii chromosomal introgression carry the Sr31, Lr26, Yr9 and Pm8 genes and the Sr36/Pm6...gene cluster, respectively. The objective of this study wa...
    "
